signal,horizon_months,zone,n,mean,median,p10,p90,hit_rate,stddev,full_sample_mean,full_sample_n,mean_diff_vs_full,bootstrap_p
NET_LIQUIDITY,6,HIGH,30,0.07508351699146901,0.1048986189935005,-0.0964831793132847,0.19182728857367673,0.7333333333333333,0.12996635244838187,0.06764396735069335,113,0.007439549640775658,0.606
NET_LIQUIDITY,12,LOW,0,,,,,,,0.13850203307831355,107,,
NET_LIQUIDITY,12,MID,77,0.14207185288404783,0.1400599050299609,0.024237204729347896,0.25688555048116984,0.948051948051948,0.08846123490359091,0.13850203307831355,107,0.0035698198057342867,
NET_LIQUIDITY,12,HIGH,30,0.12933949557692884,0.158036453051427,-0.12889153007424953,0.3883835985890653,0.6,0.21824320237973066,0.13850203307831355,107,-0.00916253750138471,0.6575
RUT_SPX_RS,3,LOW,35,0.06987269953718944,0.07577592471652506,-0.04102720106887675,0.18217088712814092,0.7714285714285715,0.09289436447030107,0.023807997677195766,400,0.04606470185999367,0.0015
RUT_SPX_RS,3,MID,340,0.022390815351966974,0.02883156941030851,-0.062271976800692484,0.09417501216935667,0.6941176470588235,0.0639134947264732,0.023807997677195766,400,-0.0014171823252287913,
RUT_SPX_RS,3,HIGH,25,-0.021408905303683893,0.012807075853046967,-0.19674661988710693,0.07224192009665176,0.56,0.11094534729541367,0.023807997677195766,400,-0.04521690298087966,0.0005
RUT_SPX_RS,6,LOW,35,0.10323017987168888,0.09281949727883121,-0.04995985016019252,0.24864508962883672,0.8,0.11791865305548992,0.048474329394862486,397,0.05475585047682639,0.0015
RUT_SPX_RS,6,MID,337,0.04649163156221851,0.05173953466861003,-0.07778210211902428,0.15258450909776522,0.7359050445103857,0.0968722736443137,0.048474329394862486,397,-0.001982697832643973,
RUT_SPX_RS,6,HIGH,25,-0.0014570944886535652,0.03164794969632556,-0.2605614655199185,0.17434570411358388,0.68,0.16801552511650933,0.048474329394862486,397,-0.049931423883516055,0.011
RUT_SPX_RS,12,LOW,35,0.19785820296248627,0.22247390969052283,-0.0824392203111347,0.4163230643781159,0.8,0.18389984249809607,0.10024405281584943,391,0.09761415014663684,0.0005
RUT_SPX_RS,12,MID,331,0.09513750165281563,0.12023026406907711,-0.12968882790668868,0.2719070505580137,0.7915407854984894,0.15727976150852824,0.10024405281584943,391,-0.005106551163033796,
RUT_SPX_RS,12,HIGH,25,0.031194980009124986,0.06445625193103988,-0.19926957789274152,0.221279270490512,0.64,0.15570425439300573,0.10024405281584943,391,-0.06904907280672444,0.028
SOX_SPX_RS,3,LOW,9,-0.03669849055348665,-0.04434728806893806,-0.13218589117277682,0.06286234653994277,0.3333333333333333,0.08667235202947501,0.01874747270366934,320,-0.05544596325715599,0.0225
SOX_SPX_RS,3,MID,294,0.018654999885433263,0.025768471862412934,-0.07614682527624425,0.10128827955005157,0.6700680272108843,0.07281995609206901,0.01874747270366934,320,-9.247281823607581e-05,
