variable,level_1,period,mult,smoothing,flip_count,avg_lag,lag_2020,lag_2022,score
M2_LEVEL,44,24,3.0,ma6,2,33.21287779237845,51.51116951379763,14.914586070959263,-34.01287779237845
M2_LEVEL,23,15,4.0,ma6,2,33.722076215505915,52.52956636005256,14.914586070959263,-34.52207621550591
M2_LEVEL,35,20,4.0,ma6,2,33.722076215505915,51.51116951379763,15.932982917214192,-34.52207621550591
M2_LEVEL,47,24,4.0,ma6,2,34.23127463863338,52.52956636005256,15.932982917214192,-35.03127463863338
DGS10,6,10,3.0,raw,19,8.26215505913272,16.52431011826544,0.0,-15.862155059132721
DGS10,27,20,2.5,raw,21,8.771353482260183,17.542706964520367,0.0,-17.171353482260184
DGS10,3,10,2.5,raw,23,8.26215505913272,16.52431011826544,0.0,-17.46215505913272
DGS10,4,10,2.5,ma3,21,9.724047306176084,18.528252299605782,0.9198423127463863,-18.124047306176085
DGS10,1,10,2.0,ma3,25,8.771353482260183,17.542706964520367,0.0,-18.77135348226018
DGS10,25,20,2.0,ma3,27,8.771353482260183,17.542706964520367,0.0,-19.571353482260186
DGS10,37,24,2.0,ma3,27,9.264126149802891,18.528252299605782,0.0,-20.06412614980289
DGS10,24,20,2.0,raw,29,17.73981603153745,16.52431011826544,18.95532194480946,-29.339816031537453
DGS10,12,15,2.0,raw,31,17.73981603153745,16.52431011826544,18.95532194480946,-30.13981603153745
DGS10,36,24,2.0,raw,31,17.73981603153745,16.52431011826544,18.95532194480946,-30.13981603153745
DGS10,0,10,2.0,raw,29,21.731274638633376,16.52431011826544,26.938239159001313,-33.331274638633374
DGS10,13,15,2.0,ma3,27,22.749671484888303,17.542706964520367,27.95663600525624,-33.54967148488831
DGS10,15,15,2.5,raw,21,25.755584756898813,17.542706964520367,33.96846254927726,-34.15558475689881
DGS10,39,24,2.5,raw,19,39.75032851511169,45.532194480946124,33.96846254927726,-47.35032851511169
DGS10,16,15,2.5,ma3,23,38.2227332457293,47.50328515111695,28.942181340341655,-47.422733245729304
DGS10,7,10,3.0,ma3,19,41.75427069645204,47.50328515111695,36.00525624178712,-49.35427069645204
DGS10,40,24,2.5,ma3,21,41.24507227332457,47.50328515111695,34.98685939553219,-49.645072273324566
DGS10,28,20,2.5,ma3,21,41.24507227332457,47.50328515111695,34.98685939553219,-49.645072273324566
DGS10,9,10,4.0,raw,16,45.269382391590014,54.533508541392905,36.00525624178712,-51.66938239159001
DGS10,34,20,4.0,ma3,15,45.77858081471747,55.55190538764783,36.00525624178712,-51.77858081471747
DGS10,30,20,3.0,raw,19,44.26741130091984,53.547963206307486,34.98685939553219,-51.86741130091984
DGS10,10,10,4.0,ma3,17,45.269382391590014,54.533508541392905,36.00525624178712,-52.06938239159001
DGS10,46,24,4.0,ma3,16,45.77858081471747,55.55190538764783,36.00525624178712,-52.17858081471747
DGS10,42,24,3.0,raw,19,44.776609724047304,53.547963206307486,36.00525624178712,-52.376609724047306
DGS10,11,10,4.0,ma6,16,46.23850197109067,55.55190538764783,36.925098554533506,-52.63850197109067
DGS10,18,15,3.0,raw,20,44.776609724047304,53.547963206307486,36.00525624178712,-52.776609724047304
DGS10,31,20,3.0,ma3,19,45.269382391590014,54.533508541392905,36.00525624178712,-52.869382391590015
DGS10,17,15,2.5,ma6,17,46.23850197109067,55.55190538764783,36.925098554533506,-53.03850197109067
DGS10,43,24,3.0,ma3,20,45.269382391590014,54.533508541392905,36.00525624178712,-53.269382391590014
DGS10,2,10,2.0,ma6,19,45.729303547963205,54.533508541392905,36.925098554533506,-53.32930354796321
DGS10,20,15,3.0,ma6,17,46.74770039421813,55.55190538764783,37.943495400788436,-53.547700394218126
DGS10,32,20,3.0,ma6,16,47.24047306176084,56.53745072273324,37.943495400788436,-53.64047306176084
DGS10,19,15,3.0,ma3,21,45.269382391590014,54.533508541392905,36.00525624178712,-53.66938239159001
DGS10,14,15,2.0,ma6,19,46.23850197109067,55.55190538764783,36.925098554533506,-53.83850197109067
DGS10,5,10,2.5,ma6,19,46.23850197109067,55.55190538764783,36.925098554533506,-53.83850197109067
DGS10,8,10,3.0,ma6,19,46.23850197109067,55.55190538764783,36.925098554533506,-53.83850197109067
DGS10,29,20,2.5,ma6,19,46.23850197109067,55.55190538764783,36.925098554533506,-53.83850197109067
DGS10,38,24,2.0,ma6,21,46.23850197109067,55.55190538764783,36.925098554533506,-54.63850197109067
DGS10,26,20,2.0,ma6,21,46.23850197109067,55.55190538764783,36.925098554533506,-54.63850197109067
DGS10,41,24,2.5,ma6,17,55.969119579500656,60.0,51.93823915900131,-62.769119579500654
DGS10,22,15,4.0,ma3,15,57.77595269382391,55.55190538764783,60.0,-63.77595269382391
DGS10,23,15,4.0,ma6,11,60.0,60.0,60.0,-64.4
DGS10,47,24,4.0,ma6,11,60.0,60.0,60.0,-64.4
DGS10,21,15,4.0,raw,12,60.0,60.0,60.0,-64.8
DGS10,45,24,4.0,raw,12,60.0,60.0,60.0,-64.8
DGS10,33,20,4.0,raw,12,60.0,60.0,60.0,-64.8
DGS10,35,20,4.0,ma6,13,60.0,60.0,60.0,-65.2
DGS10,44,24,3.0,ma6,13,60.0,60.0,60.0,-65.2
DXY,2,10,2.0,ma6,22,12.746386333771353,4.533508541392904,20.9592641261498,-21.546386333771352
DXY,24,20,2.0,raw,24,12.23718791064389,4.533508541392904,19.940867279894874,-21.83718791064389
DXY,36,24,2.0,raw,24,12.23718791064389,4.533508541392904,19.940867279894874,-21.83718791064389
DXY,7,10,3.0,ma3,24,12.746386333771353,4.533508541392904,20.9592641261498,-22.346386333771356
